#Gene_ID	YL.RS.145.1	YL.RS.1488	YL.RS.Si051.12	YL.RS.Si062	YL.RS.Si080	YL.RS.Si214	YL.RS.Si255	YL.RS.Si268	YL.RP.112	YL.RP.1488	YL.RP.342	YL.RP.348	YL.RP.64	YL.RP.977	YL.RP.995	YL.RP.9	YL.RP.Si051	YL.RP.Si062	YL.RP.Si079	YL.RP.Si080	YL.RP.Si081	YL.RP.Si083	YL.RP.Si090	YL.RP.Si214	YL.RP.Si248	YL.RP.Si249	YL.RP.Si268	YL.RS.1489	YL.RS.1606	YL.RS.251	YL.RS.342	YL.RS.348	YL.RS.37	YL.RS.427	YL.RS.53	YL.RS.642	YL.RS.977	YL.RS.995	YL.RS.9	YL.RS.Si079	YL.RS.Si081	YL.RS.Si083	YL.RS.Si090	YL.RS.Si227	YL.RS.Si248	YL.RS.Si249
Si235_3570215	0	1.43624213609267e-08	0	0	1.93008002994795e-08	3.903188657026e-08	1.12373720364619e-08	5.86089097706506e-08	4.80838442944111e-08	1.90133476383746e-07	1.26970449539982e-07	1.13259961837068e-07	3.94470900406066e-08	1.22605887806478e-07	0	0	1.52331079307475e-08	2.7854708358585e-08	2.87966773001339e-08	1.47087460825621e-07	7.09685187753485e-08	2.05389841918448e-08	2.84752860512095e-08	0	1.25268178056826e-07	7.63427927868005e-08	1.0142099441112e-07	2.00374085429076e-08	2.1504304706221e-08	0	0	1.95600212771595e-08	0	0	0	0	0	0	0	1.69113823506439e-08	3.02546098122373e-08	0	3.57690562682042e-08	4.74783705306989e-08	0	1.61212188482902e-08
Si235_4322246	0	0	0	0	0	1.3071711621339e-08	0	0	0	2.12251246458643e-08	1.27566554936884e-08	0	0	0	0	0	0	0	0	1.64197791427663e-08	1.4260340861901e-08	0	0	1.67918319496883e-08	1.57320364461037e-08	0	1.69828582190764e-08	0	0	0	0	0	0	1.5373832557727e-08	3.76832418025562e-08	0	0	3.40468205342475e-08	2.47164048551588e-08	0	0	0	0	0	0	0
Si235_6365515	1.59002357834006e-08	0	0	1.69129792747151e-08	1.09269081060546e-08	0	0	0	0	0	0	0	0	0	0	0	1.72480692972486e-08	1.5769596795601e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27721966336339e-08	0	0	0	0	0	0	0	0	0	0	0	1.68380258167547e-08	0
Si235_7490382	2.78254126209509e-08	1.42294359779552e-08	2.49994497892621e-08	0	0	0	1.11333222953836e-08	2.90331173400908e-08	0	0	0	1.60301797838178e-08	0	1.51838310130707e-08	3.91498385170551e-08	0	0	0	0	0	0	0	0	1.65586120614981e-08	0	0	0	1.98518769823252e-08	4.26103815475121e-08	0	3.05944859852617e-08	0	0	1.51603071055363e-08	0	5.79020964392697e-08	0	3.35739480268274e-08	0	0	0	1.83091512722511e-08	0	1.56795853295827e-08	1.47332725896603e-08	0
Si235_9485962	0	1.77662322036896e-08	0	0	0	1.60940726898567e-08	0	0	0	2.61326679165843e-08	1.57061712147724e-08	4.00291194601693e-08	0	3.79156936280147e-08	0	0	0	0	0	2.02162598694175e-08	1.75575295004908e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40979823331064e-08	3.75006082238404e-08	0	0	0	0	0	0	0	0	1.99418545290988e-08
YL4samples_1550144	2.03050308315047e-08	0	0	0	0	0	0	0	0	0	9.17962033836362e-09	2.33953975223286e-08	0	1.108009290143e-08	4.28532016200198e-08	1.05461872758531e-08	1.10131253283108e-08	3.0207301969952e-08	0	0	0	0	0	0	3.39620651657442e-08	0	1.22207729752138e-08	0	0	0	0	0	0	1.10629268067428e-08	0	0	0	1.22499540097884e-08	0	0	1.09366326010453e-08	0	0	0	0	0
YL4samples_1980235	0	0	0	0	0	2.26363786613432e-08	0	2.5492493274226e-08	0	0	2.20907936598018e-08	2.81505596203629e-08	0	5.33285772166386e-08	3.43754679661947e-08	0	2.65031308713819e-08	9.6925326646133e-08	0	5.68685033725078e-08	4.93894732290231e-08	0	2.47711838006457e-08	2.90785382543381e-08	0	0	0	0	0	0	0	0	3.49914240955838e-08	0	0	6.77878202215841e-08	0	1.47397820605583e-07	0	2.9423055471852e-08	0	0	0	2.75348815543891e-08	0	0
YL4samples_3315949	1.08488973395766e-08	0	9.74707789617444e-09	2.30798056528602e-08	0	0	0	1.13197713816961e-08	0	0	9.80926938684343e-09	0	1.52376846005232e-08	1.18400992737302e-08	3.05283939338768e-08	1.12695719626445e-08	0	1.07597609905004e-08	0	2.5252079114868e-08	0	3.17353257549083e-08	1.09994787273626e-08	0	1.20971977004336e-08	2.94898152642153e-08	0	0	0	0	1.19285360520154e-08	0	0	0	1.44883222092861e-08	0	2.34209574827596e-08	3.9270610688419e-08	0	0	0	0	1.38169278725554e-08	0	0	1.24546600488596e-08
YL4samples_3990038	6.62899535969714e-08	0	1.9852504244414e-08	0	7.592594235457e-09	0	0	2.30557108288956e-08	2.52204477426568e-08	1.66211454028275e-08	4.99479341940372e-08	5.09193946074212e-08	4.65533672905687e-08	3.61732444723154e-08	9.326873293769e-08	1.14767332119577e-08	1.19848716808087e-08	3.28726521437712e-08	0	1.67155766346764e-07	3.3501315480716e-08	1.61593478568191e-08	1.00815075247481e-07	2.62989720976735e-08	8.62370086071347e-08	3.00319074565722e-08	6.64953823651337e-08	0	1.69188279673945e-08	0	1.21478106117951e-08	0	0	0	1.47546516616626e-08	1.5327025528042e-08	0	9.33158261333878e-08	1.93551258608412e-08	1.33052787611684e-08	3.57048887857653e-08	1.45396201279641e-08	0	0	0	1.26836060056401e-08
YLrefSI_10366106	0	0	0	0	0	0	0	0	0	0	0	2.81505596203629e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9423055471852e-08	0	3.21526558927335e-08	0	0	0	0
YLrefSI_10432380	6.13294808788306e-08	3.13628384820236e-08	0	0	1.05366613879811e-08	0	1.22693755908309e-08	0	1.74999025153129e-08	2.30660793345361e-08	5.54524004113392e-08	3.53318248296392e-08	6.46046729746669e-08	1.67332015246085e-08	8.62894399967744e-08	4.77806852089669e-08	3.32641336446936e-08	9.12383814602634e-08	0	5.35318309807535e-08	1.54972071611475e-08	8.97008697358122e-08	7.77259083540669e-08	1.82482663534877e-08	3.4193099622654e-08	8.33538655937514e-08	7.38234449114953e-08	0	0	0	3.37163723102885e-08	2.13563497617966e-08	4.39178077934369e-08	5.01218316550385e-08	0	0	3.3100026646553e-08	7.39997221815786e-08	2.68601746640245e-08	3.69289369697735e-08	4.95496415802458e-08	2.01774320143175e-08	1.95269847994788e-08	1.72795430162748e-08	1.62366677518705e-08	1.76017389466025e-08
YLrefSI_10754908	9.07898659535563e-09	9.28567423334842e-09	0	0	0	2.52351169970865e-08	2.90609983782823e-08	1.89460826146816e-08	0	0	8.20896561980554e-09	1.04607819737301e-08	0	9.90848186955675e-09	1.2773965437589e-08	0	0	0	0	0	0	0	0	1.08056199555396e-08	1.01236367462843e-08	1.23393940002835e-08	0	1.29546991787984e-08	1.39030852179194e-08	0	0	1.26460560523026e-08	1.30028554796279e-08	0	0	0	3.92000315572471e-08	0	0	0	0	0	0	1.02319952603924e-08	0	1.04227819744233e-08
YLrefSI_10796163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.63194168685917e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLrefSI_10814223	0	2.1644775853791e-08	6.33788867896786e-09	2.25109372036701e-08	0	0	5.64506482582832e-09	7.36050862143147e-09	0	0	0	8.12797848193577e-09	0	0	0	7.32786721514672e-09	0	0	1.44659364841049e-08	8.20988957138316e-09	0	0	1.43044864200912e-08	0	7.86601822305186e-09	0	1.69828582190764e-08	2.01314808834847e-08	0	0	1.55126971192877e-08	9.82592618148389e-09	0	0	0	0	1.52291202411371e-08	0	0	1.69907785119146e-08	7.59916255847275e-09	0	8.98424652745973e-09	1.59004245595768e-08	0	0
YLrefSI_11131818	2.06539145227677e-08	3.16861667137971e-08	0	0	1.41937156841533e-08	2.87038616014971e-08	8.26390933265592e-09	0	5.89343796048338e-08	1.55359159779007e-08	9.33734577373069e-09	0	0	2.25409450090946e-08	8.71790218524113e-08	0	0	0	0	2.40372024564208e-08	0	0	2.09405883675561e-08	0	4.60608077391077e-08	0	0	0	3.16283244476378e-08	0	2.27093091849365e-08	0	1.47901895661747e-08	0	0	2.86525838049994e-08	2.00647584207972e-07	2.11827383426993e-07	0	1.24365492200612e-08	1.11245472505478e-08	0	0	0	2.18720747722792e-08	1.18554667819042e-08
YLrefSI_11338991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00208826862098e-08	0	0	0	0	0	0	0	0	3.94128955097538e-08	0	0	0	0	0	0	0	0
YLrefSI_13548350	0	0	0	0	1.03259281602216e-08	0	0	0	0	0	0	0	0	0	0	0	1.62994254858999e-08	0	0	0	0	0	1.52342780373971e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLrefSI_13718514	0	0	2.87227720983012e-08	0	0	0	0	0	0	0	0	0	0	0	1.349419965907e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51511115575347e-08	0	0	0	8.53886223823878e-08	0	0	3.85743232648654e-08	0	0	0	0	0	3.602968543819e-08	0	0
YLrefSI_14600143	3.95413758297724e-08	1.34805182949049e-08	1.18418446370189e-08	0	0	0	0	0	1.50437758464971e-08	0	1.19174018427878e-08	1.51864861109853e-08	0	0	1.8544660350184e-08	2.73830827513377e-08	0	2.6144331529549e-08	2.70284602729329e-08	0	0	1.92778184958544e-08	0	0	0	1.79137693600607e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLrefSI_15177568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6110561050641e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLrefSI_17621148	0	0	0	0	0	2.06242561136683e-08	0	0	0	0	2.01271675567083e-08	0	0	2.42941296209131e-08	0	0	0	0	0	0	0	0	2.25693007961439e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6807672763243e-08	0	0	0	0	2.35732361434566e-08	0
YLrefSI_1818474	1.84364697120411e-08	0	3.31281052422124e-08	0	1.26698505033393e-08	0	0	0	2.10428275644253e-08	0	3.33394800019095e-08	2.12424468300898e-08	0	2.01209049007562e-08	2.59397703057788e-08	0	0	3.65699852069766e-08	0	0	0	0	0	0	2.05578144970557e-08	0	0	0	0	0	2.02711931681488e-08	0	0	0	0	0	0	0	0	0	0	2.42624335877682e-08	0	0	3.90476917713697e-08	0
YLrefSI_18508844	0	0	0	0	0	0	0	0	0	0	0	1.33687985841878e-08	0	0	0	0	0	1.15075436076008e-08	2.37933935993386e-08	0	0	0	1.17639212643993e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLrefSI_18524221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.72491431837001e-08	0	6.2707269562066e-08	0	0	0	0	0	0	0	0	5.29186004873415e-08	0	0
YLrefSI_20256341	2.52533156559891e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLrefSI_2083926	0	3.20162309503991e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.64313849730128e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YLrefSI_20982224	0	2.81977813875075e-08	0	0	0	0	0	0	0	0	0	0	0	0	1.93953328433116e-08	0	0	0	0	0	0	2.01621220965816e-08	0	0	0	0	1.65933431223085e-08	0	0	6.37247064119327e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55357359228892e-08	0	3.16508333351753e-08
